"data";"ALTSALES";"AWHAETP";"CES0500000003";"CES0500000011";"CIVPART";"CPIAUCSL";"CPILFESL";"CUSR0000SEHA";"CUSR0000SEHC";"EXHOSLUSM495S";"GS10";"HOUST";"HSN1F";"INDPRO";"IPMANSICS";"IPMINE";"IPUTIL";"PAYEMS";"PCEPI";"PCEPILFE";"PERMIT";"RSAFS";"RSXFS";"SPCS20RNSA";"SPCS20RSA";"TTLCONS";"TWEXMMTH";"TWEXMPA";"U6RATE";"UNRATE"
2018-01-01;17,13;34,4;26,71;918,82;62,7;248,884;255,218;314,388;310,55;NA;2,58;1335;628;106,2655;103,3243;114,7168;108,3479;147767;107,223;108,923;1384;494208;434453;205,068594500208;207,351294048125;1297449;86,3234;99,1876;8,2;4,1
2018-02-01;17,08;34,5;26,75;922,88;63;249,369;255,662;315,054;311,222;NA;2,86;1295;644;106,6419;104,4377;117,3375;100,554;148097;107,423;109,131;1339;495028;434970;206,522019119133;209,035979045608;1335425;85,7143;98,5903;8,2;4,1
2018-03-01;17,22;34,5;26,84;925,98;62,9;249,498;256,144;315,862;312,218;NA;2,84;1332;654;107,2519;104,4607;118,6537;104,4602;148279;107,555;109,341;1406;494681;434200;208,530899953054;209,935108331744;1312855;86,2362;99,1813;7,9;4
2018-04-01;17,312;34,5;26,9;928,05;62,8;249,956;256,42;317,034;313,169;NA;2,87;1267;629;108,2223;104,9102;119,9414;108,7414;148475;107,765;109,509;1376;496768;436873;210,344113571088;210,394047113157;1322364;86,3533;99,4739;7,8;3,9
2018-05-01;17,309;34,5;26,99;931,16;62,8;250,646;256,906;317,887;314,013;NA;2,98;1332;650;107,3639;104,0846;120,7917;105,4404;148745;108,017;109,735;1321;502987;441597;211,88494971503;210,916283737753;1333468;88,6914;102,1804;7,7;3,8
2018-06-01;17,215;34,5;27,05;933,23;62,9;251,134;257,327;318,794;314,79;NA;2,91;1180;618;108,1707;104,7974;123,2572;104,6419;149007;108,182;109,878;1306;503283;441099;213,109354607828;211,40125304612;1317790;89,7394;103,4636;7,8;4
2018-07-01;16,89;34,5;27,11;935,3;62,9;251,597;257,876;319,797;315,675;NA;2,89;1184;609;108,652;105,2254;124,3916;104,6064;149185;108,353;110,064;1316;506047;443270;213,717148639933;211,71985698056;1324803;90,0469;103,7005;7,5;3,9
2018-08-01;16,857;34,5;27,23;939,44;62,7;251,879;258,087;320,843;316,468;NA;2,89;1279;604;109,5246;105,6772;127,1482;105,9684;149467;108,39;110,086;1267;504897;441704;213,801570196962;211,396710696984;1312171;90,4367;104,0988;7,4;3,8
2018-09-01;17,316;34,5;27,3;941,85;62,7;252,01;258,496;321,696;317,139;NA;3;1236;607;109,6749;105,6946;128,4626;105,553;149575;108,496;110,257;1288;504604;442814;213,791645300555;212,712392675311;1319675;89,9976;103,5945;7,5;3,7
2018-10-01;17,478;34,5;27,35;943,58;62,9;252,794;259,002;322,422;317,989;5220000;3,15;1211;557;109,9165;105,6096;128,6303;108,2644;149852;108,71;110,409;1281;510685;448284;213,667502631662;213,48702292481;1277371;90,7738;104,6305;7,5;3,8
2018-11-01;17,379;34,4;27,43;943,59;62,9;252,76;259,61;323,495;318,915;5210000;3,12;1202;615;110,5067;105,7933;129,701;111,1731;150048;108,776;110,616;1334;510233;448292;213,243995486305;213,900171951578;1271386;91,6828;105,7427;7,6;3,7
2018-12-01;17,377;34,5;27,53;949,79;63,1;252,723;260,078;324,168;319,63;5e+06;2,83;1142;564;110,5516;106,4076;132,5287;103,5903;150275;108,83;110,812;1339;499879;438003;212,67088024232;214,204741058828;1264818;92,0486;106,183;7,6;3,9
2019-01-01;16,71;34,5;27,56;950,82;63,2;252,673;260,701;325,184;320,504;4930000;2,71;1291;644;110,1185;105,8163;132,0621;104,3991;150587;108,739;110,852;1316;507222;445249;212,093846818529;214,370117186701;1282491;91,1158;105,0109;8,1;4
2019-02-01;16,519;34,4;27,66;951,5;63,2;253,113;260,989;326,12;321,566;5480000;2,68;1149;669;109,5631;105,2961;130,3222;105,0447;150643;108,835;110,894;1287;504441;442081;212,394397918593;214,899473045165;1288951;91,3777;105,3067;7,3;3,8
2019-03-01;17,26;34,5;27,71;956;63;254,148;261,374;327,494;322,599;5210000;2,57;1199;693;109,6811;105,2392;130,0886;106,8378;150796;109,064;110,96;1288;513608;450752;213,836917814823;215,189515537276;1299118;91,8773;106,1215;7,3;3,8
2019-04-01;16,484;34,4;27,75;954,6;62,8;254,958;261,735;328,957;323,669;5210000;2,53;1270;656;108,9888;104,3287;133,422;103,2728;151012;109,403;111,232;1290;515545;452232;215,579848079493;215,580268371835;1307136;92,2683;106,6255;7,3;3,6
2019-05-01;17,385;34,4;27,82;957,01;62,8;255,155;262,032;329,745;324,513;5360000;2,4;1264;598;109,2264;104,4132;133,0852;105,2351;151074;109,511;111,362;1299;518131;454135;216,865516336477;215,871269060812;1297464;92,5803;106,9684;7,1;3,6
2019-06-01;17,177;34,4;27,91;960,1;62,9;255,305;262,803;331,142;325,518;5290000;2,07;1233;729;109,2678;104,9837;133,6244;100,8661;151252;109,653;111,648;1232;520055;455546;217,709482955396;216,01471482999;1285299;91,634;105,8551;7,2;3,7
2019-07-01;16,875;34,3;27,99;960,06;63;256,161;263,569;332,066;326,317;5420000;2,06;1204;665;109,1183;104,6249;130,6184;105,2727;151418;109,923;111,893;1317;523922;458974;218,05420708344;216,090790027007;1291250;91,7037;106,1283;7;3,7
2019-08-01;16,973;34,4;28,11;966,98;63,2;256,3;264,245;332,838;327,046;5500000;1,63;1375;706;109,9273;105,2467;134,0508;104,5967;151637;109,949;112,039;1425;526862;461893;218,139488094365;215,753116212527;1287054;92,2746;106,8199;7,2;3,7
2019-09-01;17,137;34,4;28,12;967,33;63,2;256,358;264,595;334,004;327,923;5360000;1,7;1266;701;109,594;104,7074;133,0078;106,5544;151817;109,943;112,094;1391;525157;459640;NA;NA;1293614;92,6991;107,4034;6,9;3,5
2019-10-01;16,546;34,4;28,18;969,39;63,3;257,271;265,011;334,466;328,529;5460000;1,71;1314;NA;108,6714;104,0489;132,098;103,8123;151945;NA;NA;1461;526540;461217;NA;NA;NA;92,3729;107,0756;7;3,6
